participant_id,session,face_image,familiarity_rating,attractiveness_rating
1787,001,UK_F_08,19,39
1787,001,UK_M_03,30,66
1787,001,UK_M_08,18,22
1787,001,IL_F_03,86,95
1787,001,UK_M_01,24,21
1787,001,IL_M_09,87,84
1787,001,UK_F_01,33,85
1787,001,IL_F_04,74,65
1787,001,UK_M_07,31,70
1787,001,UK_M_13,13,26
1787,001,IL_F_02,87,87
1787,001,UK_M_02,14,13
1787,001,IL_M_04,21,72
1787,001,IL_F_06,78,86
1787,001,IL_M_02,15,11
1787,001,UK_F_11,21,16
1787,001,UK_F_03,16,13
1787,001,UK_M_09,19,14
1787,001,UK_M_04,20,15
1787,001,UK_F_12,94,90
1787,001,IL_F_10,85,85
1787,001,IL_F_05,97,93
1787,001,IL_M_10,76,24
1787,001,UK_F_13,29,29
1787,001,UK_M_11,12,73
1787,001,IL_M_05,84,18
1787,001,UK_F_07,15,24
1787,001,UK_M_06,10,22
1787,001,IL_F_01,75,76
1787,001,UK_F_06,17,16
1787,001,IL_F_08,62,64
1787,001,IL_M_08,94,9
