trial_num,trial_type,Q1,Q2,Q3,Q4
1,Female,X_F1,Y_F1,Z_F1,Z_F2
2,Female,Y_F1,X_F1,Z_F3,Z_F1
3,Female,Z_F1,Z_F4,X_F1,Y_F1
4,Female,Z_F5,Z_F1,Y_F1,X_F1
5,Female,X_F2,Y_F2,Z_F2,Z_F3
6,Female,Z_F2,X_F2,Y_F2,Z_F4
7,Female,Y_F2,Z_F2,X_F2,Z_F5
8,Female,Y_F3,Z_F3,Z_F4,X_F2
9,Female,Z_F3,X_F3,Z_F5,Y_F2
10,Female,Z_F4,Z_F5,X_F3,Y_F3
11,Female,X_F3,Y_F3,Z_F6,Z_F7
12,Female,Z_F6,Z_F8,Y_F3,X_F3
13,Female,X_F4,Y_F4,Z_F7,Z_F6
14,Female,Y_F4,Z_F6,X_F4,Z_F8
15,Female,Z_F7,X_F4,Z_F8,Y_F4
16,Female,Z_F8,Z_F7,Y_F4,X_F4
17,Male,X_M1,Y_M1,Z_M1,Z_M2
18,Male,Y_M1,X_M1,Z_M3,Z_M1
19,Male,Z_M1,Z_M4,X_M1,Y_M1
20,Male,Z_M5,Z_M1,Y_M1,X_M1
21,Male,X_M2,Y_M2,Z_M2,Z_M3
22,Male,Z_M2,X_M2,Y_M2,Z_M4
23,Male,Y_M2,Z_M2,X_M2,Z_M5
24,Male,Y_M3,Z_M3,Z_M4,X_M2
25,Male,Z_M3,X_M3,Z_M5,Y_M2
26,Male,Z_M4,Z_M5,X_M3,Y_M3
27,Male,X_M3,Y_M3,Z_M6,Z_M7
28,Male,Z_M6,Z_M8,Y_M3,X_M3
29,Male,X_M4,Y_M4,Z_M7,Z_M6
30,Male,Y_M4,Z_M6,X_M4,Z_M8
31,Male,Z_M7,X_M4,Z_M8,Y_M4
32,Male,Z_M8,Z_M7,Y_M4,X_M4
